time,best_bid,best_offer,bid_quote_size,offer_quote_size,cbrt_price,sqrt_price,weighted_price,square_price,midpoint_price,update_type,order_id,side,update_price,quantity,trader_id
19947946,0,0,0,0,-nan,-nan,-nan,-nan,0,ORDER,6304147982743044356,1,99.72,8041
315938967,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,17491627644766099573,0,100.25,3889
327940354,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,10730049195373818376,0,100.19,2228
343936978,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,15976938854325346613,1,99.79,4697
343955431,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,14893281208663000701,0,100.24,3892
343964055,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,4876267838717662024,0,100.22,5788
343972136,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,16583685236173758545,1,99.77,5733
343980245,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,12525652939458017620,0,0,0
343988615,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,3738285029776430862,0,100.2,4450
343996730,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,794924177755355791,0,0,0
344004527,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,6255284993439037213,0,0,0
344012001,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,18037597373466311147,0,0,0
344019381,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,16084076986713908762,1,99.8,4458
344027387,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,11334152118490403643,0,0,0
344035050,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,3702794734198757621,0,0,0
344042332,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,8461118357298027589,0,0,0
344049532,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,3059822403450140774,0,0,0
344056742,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,8514505777221584441,0,0,0
344070320,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,1658324229857709175,0,100.18,2613
344078464,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,5313806094053334712,0,100.21,3235
344086181,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,5326111634316719207,1,99.75,8168
344094083,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,14195666551296242655,0,0,0
344101527,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,11660543981620499775,0,0,0
344108787,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,16086937931437428756,0,100.16,347
344116570,99.82,100.16,457,389,99.99,99.9815,99.9763,99.9628,99.99,ORDER,14927564931821655475,0,100.26,3853
344124371,99.82,100.16,457,389,99.99,99.9815,99.9763,99.9628,99.99,ORDER,9417824197927507335,1,99.74,11262
344132297,99.82,100.16,457,389,99.99,99.9815,99.9763,99.9628,99.99,ORDER,7835774290483008189,0,100.17,1003
344139958,99.82,100.16,457,389,99.99,99.9815,99.9763,99.9628,99.99,ORDER,4114589857739937184,1,99.76,3955
344147686,99.82,100.16,457,389,99.99,99.9815,99.9763,99.9628,99.99,ORDER,10607363675886786106,1,99.81,3870
344155474,99.82,100.16,457,389,99.99,99.9815,99.9763,99.9628,99.99,ORDER,16269958456171109637,1,99.78,6845
344163322,99.82,100.16,457,389,99.99,99.9815,99.9763,99.9628,99.99,ORDER,13816436940118525405,1,99.82,2603
344171115,99.82,100.16,3060,389,99.9333,99.9073,99.8583,99.8254,99.99,ORDER,1762532960575597709,1,99.83,1324
344179036,99.83,100.16,1324,389,99.9659,99.944,99.9049,99.8562,99.995,ORDER,10875804451591108600,1,99.84,387
344190011,99.84,100.16,387,389,100,100,100,100.001,100,ORDER,11309494637356735013,1,99.85,558
344197234,99.85,100.16,558,389,99.9947,99.9902,99.9773,99.9514,100.005,ORDER,11627153266208359362,1,99.87,571
344205143,99.87,100.16,571,389,100.005,100.001,99.9875,99.9619,100.015,ORDER,1704538917266602022,0,100.14,356
344212605,99.87,100.14,571,356,99.996,99.9885,99.9737,99.9456,100.005,ORDER,13185918409070093660,0,100.15,290
344220172,99.87,100.14,571,356,99.996,99.9885,99.9737,99.9456,100.005,ORDER,8605088491410526299,0,100.12,701
344227611,99.87,100.12,571,701,99.995,100.003,100.008,100.02,99.995,ORDER,10758596182338504727,0,100.13,472
344234839,99.87,100.12,571,701,99.995,100.003,100.008,100.02,99.995,ORDER,14228902209861859467,1,99.86,458
344241961,99.87,100.12,571,701,99.995,100.003,100.008,100.02,99.995,ORDER,2471962582428821165,1,99.88,470
344249074,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,11392204168962581298,0,100.16,30000
372304371,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,15943585150269563626,1,99.79,1319
403937793,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,CANCEL,7630554158426776364,0,0,0
403958348,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,14160435975982747376,0,100.24,3018
403966537,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,495438112088429384,1,99.77,1987
403974379,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,16766083412743798221,1,99.7,6501
403981947,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,3967956335846692135,1,99.75,2199
403989337,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,3181898755017249525,0,100.16,512
403996720,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,8051634548891110846,0,100.26,2585
404003558,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,6936789699762551895,1,99.78,1630
404010690,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,CANCEL,10730049195373818376,0,0,0
404017655,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,CANCEL,16659267604181277384,0,0,0
404024392,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,3994837662781462758,0,100.19,523
404031690,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,5923531042726338684,1,99.83,505
404038819,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,ORDER,14758434208832883919,1,99.84,538
404045874,99.88,100.12,470,701,100.008,100.013,100.024,100.046,100,TRADE,4140168168441652999,1,100.12,191
404070240,99.88,100.12,470,510,100,100.003,100.005,100.01,100,TRADE,3387423770798316792,0,99.88,219
423936626,99.88,100.12,251,510,100.009,100.023,100.041,100.073,100,CANCEL,2471962582428821165,0,0,0
423956859,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,8933636668962865931,0,0,0
423964298,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,1883822978388086315,0,100.23,1490
423971508,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,8018130286388532057,0,0,0
423978343,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,17491627644766099573,0,0,0
423984881,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,9664761583125063663,0,100.25,3554
423991772,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,4876267838717662024,0,0,0
423998480,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,6124329305875252983,0,0,0
424004878,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,3989155166973592868,0,100.22,503
424011619,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,16583685236173758545,0,0,0
424017901,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,495438112088429384,0,0,0
424024234,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,375616097416979924,0,0,0
424030426,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,2293599493247650965,1,99.77,1088
424037256,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,11313769577219085844,0,0,0
424043497,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,5313806094053334712,0,0,0
424049932,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,1494325253395469671,0,100.21,595
424056683,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,1658324229857709175,0,0,0
424062939,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,1707108554722149333,0,0,0
424069207,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,15438842532504539101,0,100.18,562
424075915,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,3967956335846692135,0,0,0
424082127,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,5917902923088625239,0,0,0
424088319,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,5326111634316719207,0,0,0
424094588,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,8727988865229899246,1,99.75,3024
424101318,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,14758434208832883919,0,0,0
424107558,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,10875804451591108600,0,0,0
424113850,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,3181898755017249525,0,0,0
424120049,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,16086937931437428756,0,0,0
424126251,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,15774430515575900017,0,0,0
424132559,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,8051634548891110846,0,0,0
424138797,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,14927564931821655475,0,0,0
424145086,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,13677787720346309978,0,0,0
424151324,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,ORDER,503933133395081181,0,100.26,4867
424158031,99.87,100.12,571,510,99.9867,99.9922,99.9879,99.9809,99.995,CANCEL,13816436940118525405,0,0,0
